frame,y-shift,x-shift
0,0.0,0.0
1,-7.0,20.0
2,-3.0,15.0
3,7.0,6.0
4,8.0,3.0
5,11.0,-3.0
6,8.0,-4.0
7,8.0,7.0
8,10.0,-2.0
9,15.0,-5.0
10,-4.0,13.0
11,-5.0,17.0
12,2.0,14.0
13,4.0,18.0
14,3.0,8.0
15,9.0,7.0
16,7.0,3.0
17,7.0,9.0
18,5.0,6.0
19,20.0,-14.0
20,16.0,-30.0
21,19.0,-30.0
22,24.0,-32.0
23,17.0,-29.0
24,20.0,-30.0
25,16.0,-29.0
26,31.0,-42.0
27,35.0,-43.0
28,34.0,-47.0
29,26.0,-45.0
30,36.0,-55.0
31,61.0,-77.0
32,70.0,-79.0
33,72.0,-82.0
34,74.0,-81.0
35,71.0,-86.0
36,69.0,-83.0
37,69.0,-86.0
38,65.0,-89.0
39,68.0,-87.0
40,86.0,-72.0
41,88.0,-77.0
42,91.0,-74.0
43,90.0,-71.0
44,91.0,-68.0
45,96.0,-70.0
46,95.0,-69.0
47,94.0,-69.0
48,92.0,-70.0
49,89.0,-76.0
50,91.0,-75.0
51,88.0,-71.0
52,87.0,-73.0
53,86.0,-75.0
54,84.0,-72.0
55,84.0,-73.0
56,82.0,-75.0
57,82.0,-76.0
58,85.0,-81.0
59,86.0,-89.0
60,90.0,-85.0
61,95.0,-84.0
62,85.0,-80.0
63,86.0,-77.0
64,82.0,-76.0
65,79.0,-75.0
66,89.0,-77.0
67,83.0,-73.0
68,89.0,-77.0
69,97.0,-89.0
70,105.0,-97.0
71,99.0,-94.0
72,87.0,-100.0
73,93.0,-99.0
74,90.0,-94.0
75,79.0,-90.0
76,82.0,-91.0
77,80.0,-95.0
78,79.0,-94.0
79,82.0,-100.0
80,106.0,-83.0
81,189.0,-213.0
82,134.0,-131.0
83,125.0,-126.0
84,124.0,-125.0
85,120.0,-117.0
86,117.0,-119.0
87,129.0,-123.0
88,132.0,-135.0
89,134.0,-129.0
90,133.0,-132.0
91,138.0,-146.0
92,136.0,-135.0
93,139.0,-135.0
94,134.0,-148.0
95,128.0,-136.0
96,133.0,-141.0
97,144.0,-151.0
98,138.0,-144.0
99,146.0,-151.0
100,158.0,-158.0
101,156.0,-162.0
102,156.0,-163.0
103,155.0,-161.0
104,159.0,-154.0
105,150.0,-152.0
106,152.0,-159.0
107,148.0,-152.0
108,141.0,-157.0
109,137.0,-160.0
110,132.0,-159.0
111,118.0,-152.0
112,129.0,-151.0
113,132.0,-152.0
114,142.0,-167.0
115,148.0,-160.0
116,150.0,-168.0
117,155.0,-177.0
118,153.0,-186.0
119,144.0,-179.0
120,170.0,-131.0
121,175.0,-140.0
122,174.0,-132.0
123,174.0,-129.0
124,166.0,-136.0
125,176.0,-155.0
126,170.0,-144.0
127,175.0,-154.0
128,181.0,-154.0
129,177.0,-147.0
130,184.0,-158.0
131,181.0,-162.0
132,189.0,-161.0
133,209.0,-180.0
134,173.0,-150.0
135,184.0,-156.0
136,145.0,-157.0
137,184.0,-161.0
138,186.0,-155.0
139,187.0,-150.0
140,161.0,-186.0
141,156.0,-189.0
142,153.0,-200.0
143,158.0,-189.0
144,166.0,-209.0
145,155.0,-196.0
146,164.0,-196.0
147,153.0,-193.0
148,156.0,-196.0
149,155.0,-202.0
150,159.0,-205.0
151,165.0,-223.0
152,160.0,-229.0
153,158.0,-205.0
154,178.0,-207.0
155,172.0,-207.0
156,177.0,-215.0
157,175.0,-219.0
158,196.0,-232.0
159,202.0,-227.0
160,222.0,-208.0
161,215.0,-201.0
162,212.0,-196.0
163,207.0,-191.0
164,202.0,-173.0
165,208.0,-171.0
166,200.0,-192.0
167,198.0,-174.0
168,208.0,-175.0
169,184.0,-192.0
170,175.0,-183.0
171,165.0,-176.0
172,177.0,-182.0
173,180.0,-183.0
174,185.0,-180.0
175,178.0,-157.0
176,176.0,-166.0
177,166.0,-164.0
178,157.0,-167.0
179,147.0,-158.0
180,150.0,-165.0
181,146.0,-155.0
182,147.0,-153.0
183,156.0,-147.0
184,161.0,-146.0
185,154.0,-140.0
186,153.0,-154.0
187,147.0,-137.0
